transaction UUID,Driver UUID,Trip UUID,Description,vs reporting,Paid to you,Paid to you : Your earnings,Paid to you : Trip balance : Payouts : Cash collected,Paid to you : Your earnings : Fare,Paid to you : Your earnings : Taxes,Paid to you:Your earnings:Fare:Fare,Paid to you:Trip balance:Refunds:Toll,Paid to you:Your earnings:Tip,Paid to you:Your earnings:Taxes:Income tax withholding,Paid to you:Your earnings:Fare:Booking fee,Paid to you:Your earnings:Fare:UberX Priority,Paid to you:Your earnings:Fare:Max Fare Adjustment,Paid to you:Your earnings:Fare:Wait Time at Pick-up,Paid to you:Your earnings:Fare:Package Fare,Paid to you:Your earnings:Fare:Additional time charges,Paid to you:Your earnings:Fare:Adjustment,Paid to you:Your earnings:Fare:Surge,Paid to you:Your earnings:Fare:Cancellation,Paid to you:Your earnings:Fare:Additional cancellation fee for extended wait time,Paid to you:Your earnings:Fare:Reservation Fee
8429cb67-554c-3861-8e9f-350a49dd706f,54bad470-c12e-45c5-8910-9559f03ea34b,47b93ae0-1eca-4cdf-a46b-93ee12abb32e,trip completed order,2024-08-01 18:51:30.449 +0530 IST,79.68,403.68,-524,403.68,0,403.68,200,0,0,0,0,0,0,0,0,0,0,0,0,0
4dc618cf-b89b-3469-8bc0-fc2f07a6ca7f,54bad470-c12e-45c5-8910-9559f03ea34b,47b93ae0-1eca-4cdf-a46b-93ee12abb32e,trip fare adjust order,2024-08-01 18:51:32.15 +0530 IST,-6.04,-6.04,0,0,0,0,0,0,-6.04,0,0,0,0,0,0,0,0,0,0,0
5b97af0a-30a3-3b66-ad77-f100b8d5066f,100b888d-c025-49b3-814d-eb21f147c87c,bf9eb518-c2c5-4df7-87e0-073d95df8633,trip completed order,2024-08-01 19:21:34.953 +0530 IST,-140.59,399.41,-540,399.41,0,399.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d3c94e9-f8fb-3e9f-874b-ce2d568bee7b,100b888d-c025-49b3-814d-eb21f147c87c,bf9eb518-c2c5-4df7-87e0-073d95df8633,trip fare adjust order,2024-08-01 19:21:36.639 +0530 IST,-3.99,-3.99,0,0,0,0,0,0,-3.99,0,0,0,0,0,0,0,0,0,0,0
4b92abb3-740e-3492-8b51-7c448e285856,ecd990ea-f209-4d3b-aa30-2774860ed903,4ebe5591-7c49-44f3-a0e0-ebd1e3c97b53,trip completed order,2024-08-01 19:26:38.955 +0530 IST,-112.65,335.35,-448,335.35,0,325.02,0,0,0,0,0,0,10.33,0,0,0,0,0,0,0
c552d86e-d4bc-34b2-8097-98ef48725f7d,ecd990ea-f209-4d3b-aa30-2774860ed903,4ebe5591-7c49-44f3-a0e0-ebd1e3c97b53,trip fare adjust order,2024-08-01 19:26:41.01 +0530 IST,-3.35,-3.35,0,0,0,0,0,0,-3.35,0,0,0,0,0,0,0,0,0,0,0
0356a8f3-4da5-3d82-aa2c-f29794d9e9e6,47234e95-0d39-458e-bd76-616a05603baf,50ef940d-89e4-46d8-b798-54032312141d,trip completed order,2024-08-01 20:18:22.078 +0530 IST,64.4,279.4,-215,279.4,0,246.06,0,0,0,0,33.34,0,0,0,0,0,0,0,0,0
12850654-d07c-376b-897d-616dc4cd57fc,47234e95-0d39-458e-bd76-616a05603baf,50ef940d-89e4-46d8-b798-54032312141d,trip fare adjust order,2024-08-01 20:18:24.134 +0530 IST,-2.79,-2.79,0,0,0,0,0,0,-2.79,0,0,0,0,0,0,0,0,0,0,0
dab12bc8-86aa-331a-9910-f725f0d63450,ecd990ea-f209-4d3b-aa30-2774860ed903,63acb61f-2381-4112-8728-33b1f6f2e369,trip completed order,2024-08-01 20:48:06.406 +0530 IST,441.4,396.41,0,396.41,0,396.41,44.99,0,0,0,0,0,0,0,0,0,0,0,0,0
1630a8e5-1e79-3926-ae8c-1394663ff500,ecd990ea-f209-4d3b-aa30-2774860ed903,63acb61f-2381-4112-8728-33b1f6f2e369,trip fare adjust order,2024-08-01 20:48:08.284 +0530 IST,-4.41,-4.41,0,0,0,0,0,0,-4.41,0,0,0,0,0,0,0,0,0,0,0
8abe858f-8039-3bda-aac7-11335ec1e351,47234e95-0d39-458e-bd76-616a05603baf,17b6e067-549b-49b2-a2e9-3c31bc39a087,trip completed order,2024-08-01 20:57:47.953 +0530 IST,33.8,33.8,0,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8,0,0
25196779-e197-3baf-899f-ef333cb2d1f5,47234e95-0d39-458e-bd76-616a05603baf,17b6e067-549b-49b2-a2e9-3c31bc39a087,trip fare adjust order,2024-08-01 20:57:49.461 +0530 IST,-0.34,-0.34,0,0,0,0,0,0,-0.34,0,0,0,0,0,0,0,0,0,0,0
3689423e-e678-38e5-b52f-aa851bf50d6c,100b888d-c025-49b3-814d-eb21f147c87c,cea2aaa1-dcff-448b-a60c-cf58c926bc13,trip completed order,2024-08-01 21:00:59.178 +0530 IST,351.21,351.21,0,351.21,0,350.93,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
2dfd2a83-929d-3569-8cbc-e50fe9350f34,100b888d-c025-49b3-814d-eb21f147c87c,cea2aaa1-dcff-448b-a60c-cf58c926bc13,trip fare adjust order,2024-08-01 21:01:00.963 +0530 IST,-3.51,-3.51,0,0,0,0,0,0,-3.51,0,0,0,0,0,0,0,0,0,0,0
5b288a1c-baa1-3693-8506-5b6918154bdd,54bad470-c12e-45c5-8910-9559f03ea34b,5088117e-53fa-4348-b2df-8f90e710ad9a,trip completed order,2024-08-01 21:02:58.21 +0530 IST,-34.07,374.92,-454,374.92,0,374.92,45.01,0,0,0,0,0,0,0,0,0,0,0,0,0
cc7b8a54-86eb-3bed-8a00-3d3fc31ceb5d,54bad470-c12e-45c5-8910-9559f03ea34b,5088117e-53fa-4348-b2df-8f90e710ad9a,trip fare adjust order,2024-08-01 21:03:00.064 +0530 IST,-4.2,-4.2,0,0,0,0,0,0,-4.2,0,0,0,0,0,0,0,0,0,0,0
b790adaa-b99c-34c1-a303-1279d859c1c5,ecd990ea-f209-4d3b-aa30-2774860ed903,96622da8-92d3-44ff-8b50-ab2ed60913b8,trip completed order,2024-08-01 22:53:16.947 +0530 IST,-139,503.99,-688,503.99,0,461.96,45.01,0,0,19.04,0,0,22.99,0,0,0,0,0,0,0
184970d6-25d3-3451-8abc-61876dc635c4,ecd990ea-f209-4d3b-aa30-2774860ed903,96622da8-92d3-44ff-8b50-ab2ed60913b8,trip fare adjust order,2024-08-01 22:53:18.676 +0530 IST,-5.49,-5.49,0,0,0,0,0,0,-5.49,0,0,0,0,0,0,0,0,0,0,0
39b26de7-d9cf-371f-86da-869ebe717ed2,54bad470-c12e-45c5-8910-9559f03ea34b,be0ab5f1-fee8-4430-9b90-6af67514184a,trip completed order,2024-08-01 23:03:28.306 +0530 IST,-73.91,457.08,-576,457.08,0,457.08,45.01,0,0,0,0,0,0,0,0,0,0,0,0,0
50a8cacd-1d4b-395f-bc84-2665ec8b7c5c,54bad470-c12e-45c5-8910-9559f03ea34b,be0ab5f1-fee8-4430-9b90-6af67514184a,trip fare adjust order,2024-08-01 23:03:30.005 +0530 IST,-5.02,-5.02,0,0,0,0,0,0,-5.02,0,0,0,0,0,0,0,0,0,0,0
d401f8b9-f358-3f0d-8dbd-cacf16d6c80b,100b888d-c025-49b3-814d-eb21f147c87c,8eb734e3-7ee7-4492-afc5-eed8331af5c0,trip completed order,2024-08-01 23:33:32.138 +0530 IST,284.98,284.98,0,284.98,0,284.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed33de1d-d635-32fc-9be5-9f512f800480,100b888d-c025-49b3-814d-eb21f147c87c,8eb734e3-7ee7-4492-afc5-eed8331af5c0,trip fare adjust order,2024-08-01 23:33:33.914 +0530 IST,-2.85,-2.85,0,0,0,0,0,0,-2.85,0,0,0,0,0,0,0,0,0,0,0
6bc13eb2-98cc-3c0b-a4b2-1a37f67f1c6d,ecd990ea-f209-4d3b-aa30-2774860ed903,e7b3a319-56bc-41ee-97cc-6072c01fc6bd,trip completed order,2024-08-01 23:54:35.492 +0530 IST,194.11,194.11,0,194.11,0,146.54,0,0,0,0,0,0,47.57,0,0,0,0,0,0,0
79aa99ec-def3-3667-92cf-1b6031e849f3,ecd990ea-f209-4d3b-aa30-2774860ed903,e7b3a319-56bc-41ee-97cc-6072c01fc6bd,trip fare adjust order,2024-08-01 23:54:37.6 +0530 IST,-1.94,-1.94,0,0,0,0,0,0,-1.94,0,0,0,0,0,0,0,0,0,0,0
c9a5220a-dc4a-3eff-99f7-26f4a7deb6a5,100b888d-c025-49b3-814d-eb21f147c87c,2888913b-8677-4d54-b760-c1371adc0de4,trip completed order,2024-08-02 00:04:03.306 +0530 IST,172.26,172.26,0,172.26,0,252.38,0,0,0,0,0,-80.12,0,0,0,0,0,0,0,0
fd0efb04-551d-395f-ba94-6462a26bd075,100b888d-c025-49b3-814d-eb21f147c87c,2888913b-8677-4d54-b760-c1371adc0de4,trip fare adjust order,2024-08-02 00:04:05.35 +0530 IST,-1.72,-1.72,0,0,0,0,0,0,-1.72,0,0,0,0,0,0,0,0,0,0,0
86950dad-0cb7-36f5-8acc-be767f6afe2f,54bad470-c12e-45c5-8910-9559f03ea34b,db2f2bb4-4935-48fc-be73-7e1189551812,trip completed order,2024-08-02 00:56:36.872 +0530 IST,508.22,463.21,0,463.21,0,463.21,45.01,0,0,0,0,0,0,0,0,0,0,0,0,0
5254c872-2e61-3c4a-8c39-a47a438d11bd,54bad470-c12e-45c5-8910-9559f03ea34b,db2f2bb4-4935-48fc-be73-7e1189551812,trip fare adjust order,2024-08-02 00:56:38.747 +0530 IST,-5.08,-5.08,0,0,0,0,0,0,-5.08,0,0,0,0,0,0,0,0,0,0,0
aeff7239-bd16-3a84-8890-34d45c6600ba,100b888d-c025-49b3-814d-eb21f147c87c,34e70711-2456-4fdd-9306-3e601644656b,trip completed order,2024-08-02 01:24:06.625 +0530 IST,-97.6,274.4,-372,274.4,0,274.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a23fd27-1946-3db9-b4b0-7420ad78372b,100b888d-c025-49b3-814d-eb21f147c87c,34e70711-2456-4fdd-9306-3e601644656b,trip fare adjust order,2024-08-02 01:24:08.326 +0530 IST,-2.74,-2.74,0,0,0,0,0,0,-2.74,0,0,0,0,0,0,0,0,0,0,0
2462e1db-623a-3499-b162-c99817c84b0a,100b888d-c025-49b3-814d-eb21f147c87c,c7cd0858-caac-4278-a820-21480098bf49,trip completed order,2024-08-02 02:00:18.675 +0530 IST,134.1,134.1,0,134.1,0,134.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b103111-6954-3d58-985d-b7ab4e405f70,100b888d-c025-49b3-814d-eb21f147c87c,c7cd0858-caac-4278-a820-21480098bf49,trip fare adjust order,2024-08-02 02:00:20.652 +0530 IST,-1.34,-1.34,0,0,0,0,0,0,-1.34,0,0,0,0,0,0,0,0,0,0,0
b9ae83aa-3863-349b-8235-74973c63c449,ecd990ea-f209-4d3b-aa30-2774860ed903,ccf9fcbb-5466-4203-aa21-2431fe159660,trip completed order,2024-08-02 13:50:19.684 +0530 IST,142.86,142.86,0,142.86,0,133.34,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0
36f1416c-171e-348c-b2b1-032153e31597,ecd990ea-f209-4d3b-aa30-2774860ed903,ccf9fcbb-5466-4203-aa21-2431fe159660,trip fare adjust order,2024-08-02 13:50:21.67 +0530 IST,-1.43,-1.43,0,0,0,0,0,0,-1.43,0,0,0,0,0,0,0,0,0,0,0
90ba7a14-ee97-3787-83bb-6d0acce29218,100b888d-c025-49b3-814d-eb21f147c87c,1903c6b8-845a-4a76-bd36-6b150e34771e,trip completed order,2024-08-02 14:37:47.322 +0530 IST,708.64,508.66,0,508.66,0,504.61,199.98,0,0,0,0,0,4.05,0,0,0,0,0,0,0
3c77e9be-3aae-3c09-aacd-a38d19ec1270,100b888d-c025-49b3-814d-eb21f147c87c,1903c6b8-845a-4a76-bd36-6b150e34771e,trip fare adjust order,2024-08-02 14:37:49.984 +0530 IST,-7.09,-7.09,0,0,0,0,0,0,-7.09,0,0,0,0,0,0,0,0,0,0,0
9dd050b7-b8fb-372f-acc2-198dd1c0d04e,100b888d-c025-49b3-814d-eb21f147c87c,8a5f27c0-c418-42b5-8055-29bec43f74ca,trip completed order,2024-08-02 14:57:09.965 +0530 IST,15.04,15.04,0,15.04,0,0,0,0,0,0,0,0,0,0,0,0,0,15.04,0,0
5e4c1f09-48c4-3929-8c42-f63817aba736,100b888d-c025-49b3-814d-eb21f147c87c,8a5f27c0-c418-42b5-8055-29bec43f74ca,trip fare adjust order,2024-08-02 14:57:11.596 +0530 IST,-0.15,-0.15,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,0,0,0,0,0
bc7b476f-58da-325d-a4c7-f9872bdb3145,ecd990ea-f209-4d3b-aa30-2774860ed903,002d454e-2705-4c26-92d0-7c04630e729e,trip completed order,2024-08-02 15:11:13.857 +0530 IST,-41.36,310.64,-552,310.64,0,310.64,200,0,0,0,0,0,0,0,0,0,0,0,0,0
88097b61-fdda-35d7-bdb4-e5e9a82ef471,ecd990ea-f209-4d3b-aa30-2774860ed903,002d454e-2705-4c26-92d0-7c04630e729e,trip fare adjust order,2024-08-02 15:11:15.582 +0530 IST,-5.11,-5.11,0,0,0,0,0,0,-5.11,0,0,0,0,0,0,0,0,0,0,0
f19b5536-1e8e-3208-a005-49e7c7436234,100b888d-c025-49b3-814d-eb21f147c87c,2ecc1874-1a2c-46be-bf84-a3b010664d32,trip completed order,2024-08-02 15:39:20.98 +0530 IST,-50.85,123.15,-174,123.15,0,123.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce96bf9d-b8e8-3b62-a47c-371b0a92b57f,100b888d-c025-49b3-814d-eb21f147c87c,2ecc1874-1a2c-46be-bf84-a3b010664d32,trip fare adjust order,2024-08-02 15:39:22.77 +0530 IST,-1.23,-1.23,0,0,0,0,0,0,-1.23,0,0,0,0,0,0,0,0,0,0,0
08983ec8-3241-3355-ac90-ead3c93ce574,ecd990ea-f209-4d3b-aa30-2774860ed903,42cfb549-aa2c-4f7e-bb47-30b7e8868a3b,trip completed order,2024-08-02 16:18:56.684 +0530 IST,211.48,211.48,0,211.48,0,211.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ca73e95-ae28-377d-8fa5-1428869821b6,ecd990ea-f209-4d3b-aa30-2774860ed903,42cfb549-aa2c-4f7e-bb47-30b7e8868a3b,trip fare adjust order,2024-08-02 16:18:58.478 +0530 IST,-2.11,-2.11,0,0,0,0,0,0,-2.11,0,0,0,0,0,0,0,0,0,0,0
ea70c77b-4cf6-31ff-b44b-20bfc31205c1,100b888d-c025-49b3-814d-eb21f147c87c,d31b1c54-e646-4d3b-9a08-96c227c1f56c,trip completed order,2024-08-02 16:22:36.628 +0530 IST,179.11,179.11,0,179.11,0,179.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8720317e-5d74-30fc-bf48-318ffdb0b3fc,100b888d-c025-49b3-814d-eb21f147c87c,d31b1c54-e646-4d3b-9a08-96c227c1f56c,trip fare adjust order,2024-08-02 16:22:38.552 +0530 IST,-1.79,-1.79,0,0,0,0,0,0,-1.79,0,0,0,0,0,0,0,0,0,0,0
6f020a1b-e553-3e24-a255-f43091ac0835,ecd990ea-f209-4d3b-aa30-2774860ed903,530a443a-894c-4809-8284-bcad0bbba0ef,trip completed order,2024-08-02 17:15:23.15 +0530 IST,-63.12,174.88,-238,174.88,0,174.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d87492fa-c59e-3f9b-9111-789a1441ae1e,ecd990ea-f209-4d3b-aa30-2774860ed903,530a443a-894c-4809-8284-bcad0bbba0ef,trip fare adjust order,2024-08-02 17:15:24.946 +0530 IST,-1.75,-1.75,0,0,0,0,0,0,-1.75,0,0,0,0,0,0,0,0,0,0,0
7b15e12a-fbd6-36da-8f28-8938bff8842f,100b888d-c025-49b3-814d-eb21f147c87c,0abcfdde-d2a4-495a-ba5a-9015f8714ccf,trip completed order,2024-08-02 17:30:56.757 +0530 IST,267.6,267.6,0,267.6,0,436.61,0,0,0,0,0,-169.01,0,0,0,0,0,0,0,0
89d9ee72-f018-37be-a920-81ce55ac23b5,100b888d-c025-49b3-814d-eb21f147c87c,0abcfdde-d2a4-495a-ba5a-9015f8714ccf,trip fare adjust order,2024-08-02 17:30:58.642 +0530 IST,-2.68,-2.68,0,0,0,0,0,0,-2.68,0,0,0,0,0,0,0,0,0,0,0
fb25fb62-37ac-32b3-ae5e-944ffc99cd6c,100b888d-c025-49b3-814d-eb21f147c87c,75396591-5b44-47e8-b4ac-f542f61ce41e,trip completed order,2024-08-02 17:41:42.877 +0530 IST,95.24,95.24,0,95.24,0,95.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35115f09-8e9b-39d6-8563-564a133c1ec9,100b888d-c025-49b3-814d-eb21f147c87c,75396591-5b44-47e8-b4ac-f542f61ce41e,trip fare adjust order,2024-08-02 17:41:44.466 +0530 IST,-0.95,-0.95,0,0,0,0,0,0,-0.95,0,0,0,0,0,0,0,0,0,0,0
5c4cd4be-cecb-3158-a11a-ddf1d602bb75,54bad470-c12e-45c5-8910-9559f03ea34b,5feba88b-9e0d-4e93-b13d-2b0fbf2ea89a,trip completed order,2024-08-02 17:59:32.074 +0530 IST,-198.05,634.95,-1033,634.95,0,634.95,200,0,0,0,0,0,0,0,0,0,0,0,0,0
722730a7-52de-3453-a635-1323cce46c3b,54bad470-c12e-45c5-8910-9559f03ea34b,5feba88b-9e0d-4e93-b13d-2b0fbf2ea89a,trip fare adjust order,2024-08-02 17:59:33.731 +0530 IST,-8.35,-8.35,0,0,0,0,0,0,-8.35,0,0,0,0,0,0,0,0,0,0,0
ba454a95-e11c-393b-9906-cac458c650bd,100b888d-c025-49b3-814d-eb21f147c87c,969a0adf-80f5-424f-9b3a-51b1c941c375,trip completed order,2024-08-02 18:27:28.586 +0530 IST,-92.31,276.95,-369.26,276.95,0,369.01,0,0,0,0,0,-92.06,0,0,0,0,0,0,0,0
1c52c4f8-6cab-3552-9e85-2262a8d2eb6f,100b888d-c025-49b3-814d-eb21f147c87c,969a0adf-80f5-424f-9b3a-51b1c941c375,trip fare adjust order,2024-08-02 18:27:30.362 +0530 IST,-2.77,-2.77,0,0,0,0,0,0,-2.77,0,0,0,0,0,0,0,0,0,0,0
5cbac782-cbde-3761-b34c-15d2b3e654b1,ecd990ea-f209-4d3b-aa30-2774860ed903,aefb10d9-fd80-4293-8922-13462c480893,trip completed order,2024-08-02 19:20:58.637 +0530 IST,-131.56,426.73,-558.29,426.73,0,638.65,0,0,0,0,0,-211.92,0,0,0,0,0,0,0,0
1dc0620a-2248-32cf-bd28-e20e466c5bee,ecd990ea-f209-4d3b-aa30-2774860ed903,aefb10d9-fd80-4293-8922-13462c480893,trip fare adjust order,2024-08-02 19:21:00.37 +0530 IST,-4.27,-4.27,0,0,0,0,0,0,-4.27,0,0,0,0,0,0,0,0,0,0,0
ca99f565-ae5e-3139-9c94-d3fcbf2d4e83,100b888d-c025-49b3-814d-eb21f147c87c,138990f5-9a92-44ef-9e80-da0cb0083d37,trip completed order,2024-08-02 19:55:41.784 +0530 IST,403.95,403.95,0,403.95,0,631.47,0,0,0,0,0,-227.52,0,0,0,0,0,0,0,0
1c2751c4-edbe-36fe-8608-e3d1ae144be9,100b888d-c025-49b3-814d-eb21f147c87c,138990f5-9a92-44ef-9e80-da0cb0083d37,trip fare adjust order,2024-08-02 19:55:44.653 +0530 IST,-4.04,-4.04,0,0,0,0,0,0,-4.04,0,0,0,0,0,0,0,0,0,0,0
1f0c9362-d458-3c69-a285-d21c27dcbc53,54bad470-c12e-45c5-8910-9559f03ea34b,50476d05-348b-45b8-ad2a-f3cef60fdb83,trip completed order,2024-08-02 20:06:27.219 +0530 IST,-102.89,292.1,-440,292.1,0,277.49,45.01,0,0,0,0,0,14.61,0,0,0,0,0,0,0
76350873-4099-36e4-a928-67caf0b98d75,54bad470-c12e-45c5-8910-9559f03ea34b,50476d05-348b-45b8-ad2a-f3cef60fdb83,trip fare adjust order,2024-08-02 20:06:28.853 +0530 IST,-3.37,-3.37,0,0,0,0,0,0,-3.37,0,0,0,0,0,0,0,0,0,0,0
a9f258a2-bdb3-30eb-8f49-029237e939dd,ecd990ea-f209-4d3b-aa30-2774860ed903,41f63baf-e759-447f-a2fa-d7b3b84db22a,trip completed order,2024-08-02 21:10:06.68 +0530 IST,476.68,476.68,0,476.68,0,462.4,0,0,0,14.28,0,0,0,0,0,0,0,0,0,0
aed81f43-28ec-3615-a71d-1b05860c9131,ecd990ea-f209-4d3b-aa30-2774860ed903,41f63baf-e759-447f-a2fa-d7b3b84db22a,trip fare adjust order,2024-08-02 21:10:08.554 +0530 IST,-4.77,-4.77,0,0,0,0,0,0,-4.77,0,0,0,0,0,0,0,0,0,0,0
17fafdb1-80ec-325e-933e-9b6bb887770b,100b888d-c025-49b3-814d-eb21f147c87c,4b81795d-0ccf-48d7-aa2f-fe98b3874962,trip completed order,2024-08-02 21:22:07.759 +0530 IST,578.24,533.25,0,533.25,0,533.25,44.99,0,0,0,0,0,0,0,0,0,0,0,0,0
8bda6801-509b-331b-9000-45005b7e2288,100b888d-c025-49b3-814d-eb21f147c87c,4b81795d-0ccf-48d7-aa2f-fe98b3874962,trip fare adjust order,2024-08-02 21:22:09.524 +0530 IST,-5.78,-5.78,0,0,0,0,0,0,-5.78,0,0,0,0,0,0,0,0,0,0,0
e1b8b098-1e23-3d0f-ad77-c5500c0a61b2,100b888d-c025-49b3-814d-eb21f147c87c,8488f30c-603c-49e8-875d-25c990b1e71d,trip completed order,2024-08-02 22:36:59.069 +0530 IST,17.19,114.19,-97,114.19,0,114.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9781a128-97a0-3a74-9230-14ff8476363d,100b888d-c025-49b3-814d-eb21f147c87c,8488f30c-603c-49e8-875d-25c990b1e71d,trip fare adjust order,2024-08-02 22:37:00.74 +0530 IST,-1.14,-1.14,0,0,0,0,0,0,-1.14,0,0,0,0,0,0,0,0,0,0,0
f27d47c7-13fe-3179-994e-09d036e00132,ecd990ea-f209-4d3b-aa30-2774860ed903,a4245ec7-5656-43ab-aaba-8163a62cd26b,trip completed order,2024-08-02 22:58:15.866 +0530 IST,302.6,302.6,0,302.6,0,271.31,0,0,0,0,0,0,31.29,0,0,0,0,0,0,0
0bfb93ac-ba96-35ba-a391-4bf84ae35f47,ecd990ea-f209-4d3b-aa30-2774860ed903,a4245ec7-5656-43ab-aaba-8163a62cd26b,trip fare adjust order,2024-08-02 22:58:17.962 +0530 IST,-3.03,-3.03,0,0,0,0,0,0,-3.03,0,0,0,0,0,0,0,0,0,0,0
77706d63-c2d0-3832-ae78-2d5893454834,100b888d-c025-49b3-814d-eb21f147c87c,b73b1afa-a35a-4bb7-842d-0df9c614b016,trip completed order,2024-08-02 23:37:00.33 +0530 IST,-62.36,178.64,-241,178.64,0,178.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251c2182-d354-3845-b5f5-a61e04422c1c,100b888d-c025-49b3-814d-eb21f147c87c,b73b1afa-a35a-4bb7-842d-0df9c614b016,trip fare adjust order,2024-08-02 23:37:02.05 +0530 IST,-1.79,-1.79,0,0,0,0,0,0,-1.79,0,0,0,0,0,0,0,0,0,0,0
a6ebc268-a2bc-32e5-b5d3-559c189db5fe,54bad470-c12e-45c5-8910-9559f03ea34b,127943fa-a9ce-4899-b2db-b6d93813064d,trip completed order,2024-08-02 23:54:16.375 +0530 IST,650.39,650.39,0,650.39,0,459.91,0,0,0,0,0,0,0,0,0,0,0,0,0,190.48
